id,label,external,entrypoint
87,Lcom/tencent/StubShell/TxAppEntry;->g()Ljava/lang/String; [access_flags=private static] @ 0x1f2f0,False,False
88,Landroid/os/Bundle;->getString(Ljava/lang/String;)Ljava/lang/String;,True,False
89,Lcom/tencent/StubShell/TxAppEntry;->c(Landroid/content/Context;)V [access_flags=private] @ 0x1e274,False,False
90,Lcom/tencent/bugly/legu/crashreport/CrashReport;->initCrashReport(Landroid/content/Context; Ljava/lang/String; Z Lcom/tencent/bugly/legu/crashreport/CrashReport$UserStrategy;)V [access_flags=public static synchronized] @ 0x21ca0,False,False
91,Lcom/tencent/bugly/legu/crashreport/CrashReport$UserStrategy;->setEnableUserInfo(Z)Lcom/tencent/bugly/legu/BuglyStrategy;,True,False
92,Lcom/tencent/bugly/legu/crashreport/CrashReport;->setSdkExtraData(Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)V [access_flags=public static synchronized] @ 0x22534,False,False
93,Lcom/tencent/bugly/legu/crashreport/CrashReport$UserStrategy;->setRecordUserInfoOnceADay(Z)Lcom/tencent/bugly/legu/BuglyStrategy;,True,False
94,Lcom/tencent/bugly/legu/crashreport/CrashReport$UserStrategy;->setAppVersion(Ljava/lang/String;)Lcom/tencent/bugly/legu/BuglyStrategy;,True,False
95,Lcom/tencent/bugly/legu/crashreport/CrashReport$UserStrategy;-><init>(Landroid/content/Context;)V [access_flags=public constructor] @ 0x215a4,False,False
96,Lcom/tencent/StubShell/TxAppEntry;->d(Landroid/content/Context;)V [access_flags=private] @ 0x1e2e4,False,False
97,Landroid/content/Context;->getAssets()Landroid/content/res/AssetManager;,True,False
98,Lcom/tencent/StubShell/TxAppEntry;->fixUnityResource(Landroid/content/res/AssetManager; Ljava/lang/String;)V [access_flags=private static native] @ 0x0,False,False
99,Lcom/tencent/StubShell/TxAppEntry;->fixNativeResource(Landroid/content/res/AssetManager; Ljava/lang/String;)V [access_flags=private static native] @ 0x0,False,False
100,Lcom/tencent/StubShell/TxAppEntry;->e()V [access_flags=private] @ 0x1e390,False,False
101,Lcom/tencent/StubShell/TxAppEntry;->c()Ljava/lang/String; [access_flags=private] @ 0x1e25c,False,False
102,Lcom/tencent/StubShell/TxAppEntry;->f()Ljava/lang/String; [access_flags=private static] @ 0x1f2ac,False,False
103,Ljava/lang/String;->compareTo(Ljava/lang/String;)I,True,False
104,Lcom/tencent/StubShell/TxAppEntry;->a(Landroid/content/Context;)V [access_flags=public] @ 0x1f35c,False,False
105,Lcom/tencent/StubShell/TxAppEntry;->load(Landroid/content/Context;)V [access_flags=private static native] @ 0x0,False,False
106,Lcom/tencent/StubShell/TxAppEntry;->attachBaseContext(Landroid/content/Context;)V [access_flags=protected] @ 0x1f380,False,False
107,Landroid/app/Application;->attachBaseContext(Landroid/content/Context;)V,True,False
108,Lcom/tencent/StubShell/TxAppEntry;->getMainLooper()Landroid/os/Looper;,True,False
109,Landroid/os/Handler;-><init>(Landroid/os/Looper;)V,True,False
110,Ljava/lang/Thread;-><init>(Ljava/lang/Runnable;)V,True,False
111,Lcom/tencent/StubShell/d;-><init>(Lcom/tencent/StubShell/TxAppEntry;)V [access_flags=constructor] @ 0x20094,False,False
112,Ljava/lang/Thread;->start()V,True,False
113,Lcom/tencent/StubShell/TxAppEntry;->getPackageName()Ljava/lang/String; [access_flags=public] @ 0x1f410,False,False
114,Ljava/lang/StringBuilder;->append(Z)Ljava/lang/StringBuilder;,True,False
115,Landroid/util/Log;->d(Ljava/lang/String; Ljava/lang/String;)I,True,False
116,Ljava/lang/Exception;->getStackTrace()[Ljava/lang/StackTraceElement;,True,False
117,Ljava/lang/Exception;-><init>()V,True,False
118,Ljava/lang/StackTraceElement;->getMethodName()Ljava/lang/String;,True,False
119,Ljava/lang/StackTraceElement;->getClassName()Ljava/lang/String;,True,False
120,Lcom/tencent/StubShell/TxAppEntry;->changeEnv(Landroid/content/Context;)V [access_flags=private static native] @ 0x0,False,False
121,Ljava/lang/StringBuilder;->append(I)Ljava/lang/StringBuilder;,True,False
122,Lcom/tencent/StubShell/TxAppEntry;->onCreate()V [access_flags=public] @ 0x1f5b0,False,False
123,Lcom/tencent/StubShell/TxAppEntry;->runCreate(Landroid/content/Context;)V [access_flags=private static native] @ 0x0,False,False
124,Lcom/tencent/StubShell/TxAppEntry;->a()Ljava/lang/String; [access_flags=static synthetic] @ 0x1d498,False,False
125,Lcom/tencent/StubShell/TxAppEntry;->b()Ljava/lang/String; [access_flags=static synthetic] @ 0x1e034,False,False
126,Lcom/tencent/StubShell/TxReceiver;-><init>()V [access_flags=public constructor] @ 0x1f5f0,False,False
127,Landroid/content/BroadcastReceiver;-><init>()V,True,False
128,Lcom/tencent/StubShell/TxReceiver;->onReceive(Landroid/content/Context; Landroid/content/Intent;)V [access_flags=public] @ 0x1f608,False,False
129,Lcom/tencent/StubShell/XposedCheck;-><init>()V [access_flags=public constructor] @ 0x1f620,False,False
130,Lcom/tencent/StubShell/XposedCheck;->isXposedExistByThrow()Z [access_flags=private static] @ 0x1f638,False,False
131,Ljava/lang/Exception;-><init>(Ljava/lang/String;)V,True,False
132,Lcom/tencent/StubShell/XposedCheck;->isXposedExists()Z [access_flags=private static] @ 0x1f6a4,False,False
133,Ljava/lang/InstantiationException;->printStackTrace()V,True,False
134,Ljava/lang/ClassNotFoundException;->printStackTrace()V,True,False
135,Ljava/lang/ClassLoader;->getSystemClassLoader()Ljava/lang/ClassLoader;,True,False
136,Ljava/lang/ClassLoader;->loadClass(Ljava/lang/String;)Ljava/lang/Class;,True,False
137,Ljava/lang/Class;->newInstance()Ljava/lang/Object;,True,False
138,Lcom/tencent/StubShell/XposedCheck;->tryShutdownXposed()Z [access_flags=public static] @ 0x1f758,False,False
139,Ljava/lang/Boolean;->valueOf(Z)Ljava/lang/Boolean;,True,False
140,Ljava/util/zip/ZipFile;-><init>(Ljava/io/File;)V,True,False
141,Ljava/util/zip/ZipFile;->close()V,True,False
142,Ljava/util/zip/ZipFile;->getEntry(Ljava/lang/String;)Ljava/util/zip/ZipEntry;,True,False
143,Ljava/io/FileOutputStream;->write([B I I)V,True,False
144,Ljava/io/FileOutputStream;-><init>(Ljava/io/File;)V,True,False
145,Ljava/io/FileOutputStream;->close()V,True,False
146,Ljava/io/InputStream;->close()V,True,False
147,Ljava/lang/Exception;->getMessage()Ljava/lang/String;,True,False
148,Ljava/util/zip/ZipFile;->getInputStream(Ljava/util/zip/ZipEntry;)Ljava/io/InputStream;,True,False
149,Ljava/io/InputStream;->read([B)I,True,False
150,Ljava/io/File;->delete()Z,True,False
151,Lcom/tencent/StubShell/ZipUtil;-><init>()V [access_flags=public constructor] @ 0x1f7ec,False,False
152,Lcom/tencent/StubShell/a;->a(Ljava/lang/String; Ljava/lang/ClassLoader; Landroid/app/Application;)Ljava/lang/ClassLoader; [access_flags=private static] @ 0x1f9e4,False,False
153,Lcom/tencent/StubShell/a;->a(Landroid/app/Application; Ljava/lang/ClassLoader;)V [access_flags=private static] @ 0x1fc98,False,False
154,Landroid/util/Log;->e(Ljava/lang/String; Ljava/lang/String; Ljava/lang/Throwable;)I,True,False
155,Lcom/tencent/StubShell/a;-><init>(Ljava/lang/String; Ljava/lang/ClassLoader; Landroid/app/Application;)V [access_flags=private constructor] @ 0x1f934,False,False
156,Ldalvik/system/PathClassLoader;-><init>(Ljava/lang/String; Ljava/lang/ClassLoader;)V,True,False
157,Landroid/app/Application;->getPackageCodePath()Ljava/lang/String;,True,False
158,Lcom/tencent/StubShell/c;->a(Ljava/lang/Object; Ljava/lang/String;)Ljava/lang/reflect/Field; [access_flags=public static] @ 0x1fff0,False,False
159,Lcom/tencent/StubShell/a;->a(Ljava/lang/Object; Ljava/lang/ClassLoader; Z)Ljava/lang/Object; [access_flags=private static] @ 0x1fa60,False,False
160,Ljava/util/List;->iterator()Ljava/util/Iterator;,True,False
161,Ljava/util/Iterator;->next()Ljava/lang/Object;,True,False
162,Lcom/tencent/StubShell/c;->a(Ljava/lang/Object; [Ljava/lang/Class;)Ljava/lang/reflect/Constructor; [access_flags=public static varargs] @ 0x1feac,False,False
163,Ldalvik/system/DexFile;->getName()Ljava/lang/String;,True,False
164,Ljava/util/Iterator;->hasNext()Z,True,False
165,Lcom/tencent/StubShell/c;->a(Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/reflect/Field; [access_flags=public static] @ 0x1ff58,False,False
166,Ljava/io/FileInputStream;-><init>(Ljava/lang/String;)V,True,False
167,Ljava/lang/Exception;->printStackTrace()V,True,False
168,Lcom/tencent/StubShell/b;->a(Ljava/io/InputStream;)Ljava/lang/String; [access_flags=public static] @ 0x1fd58,False,False
169,Ljava/security/MessageDigest;->digest()[B,True,False
170,Lcom/tencent/StubShell/b;->a([B)Ljava/lang/String; [access_flags=public static] @ 0x1fe44,False,False
171,Ljava/security/MessageDigest;->update([B I I)V,True,False
172,Ljava/security/MessageDigest;->getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;,True,False
173,Ljava/lang/StringBuilder;->append(C)Ljava/lang/StringBuilder;,True,False
174,Ljava/lang/StringBuilder;-><init>(I)V,True,False
175,Ljava/lang/reflect/Field;->isAccessible()Z,True,False
176,Ljava/lang/NoSuchFieldException;-><init>(Ljava/lang/String;)V,True,False
177,Ljava/lang/Class;->getSuperclass()Ljava/lang/Class;,True,False
178,Ljava/lang/Class;->getDeclaredConstructor([Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,True,False
179,Ljava/lang/reflect/Constructor;->isAccessible()Z,True,False
180,Ljava/util/Arrays;->asList([Ljava/lang/Object;)Ljava/util/List;,True,False
181,Ljava/lang/NoSuchMethodException;-><init>(Ljava/lang/String;)V,True,False
182,Ljava/lang/reflect/Constructor;->setAccessible(Z)V,True,False
183,Lcom/tencent/StubShell/d;->run()V [access_flags=public] @ 0x200b0,False,False
184,Lcom/tencent/bugly/legu/crashreport/CrashReport;->postCatchedException(Ljava/lang/Throwable;)V [access_flags=public static synchronized] @ 0x21d70,False,False
185,Lcom/tencent/bugly/legu/Bugly;-><init>()V [access_flags=public constructor] @ 0x20148,False,False
186,Lcom/tencent/bugly/legu/Bugly;->getAppChannel()Ljava/lang/String; [access_flags=public static synchronized] @ 0x20160,False,False
187,Ljava/util/Map;->get(Ljava/lang/Object;)Ljava/lang/Object;,True,False
188,Lcom/tencent/bugly/legu/crashreport/common/info/a;->a()Lcom/tencent/bugly/legu/crashreport/common/info/a; [access_flags=public static synchronized] @ 0x24c98,False,False
189,Ljava/lang/String;-><init>([B)V,True,False
190,Landroid/text/TextUtils;->isEmpty(Ljava/lang/CharSequence;)Z,True,False
191,Lcom/tencent/bugly/legu/proguard/o;->a()Lcom/tencent/bugly/legu/proguard/o; [access_flags=public static synchronized] @ 0x3a628,False,False
192,Lcom/tencent/bugly/legu/proguard/o;->a(I Lcom/tencent/bugly/legu/proguard/n; Z)Ljava/util/Map; [access_flags=public final] @ 0x3b94c,False,False
193,Lcom/tencent/bugly/legu/Bugly;->init(Landroid/content/Context; Ljava/lang/String; Z)V [access_flags=public static] @ 0x20200,False,False
194,Lcom/tencent/bugly/legu/Bugly;->init(Landroid/content/Context; Ljava/lang/String; Z Lcom/tencent/bugly/legu/BuglyStrategy;)V [access_flags=public static synchronized] @ 0x2021c,False,False
195,Landroid/content/Context;->getApplicationContext()Landroid/content/Context;,True,False
196,Lcom/tencent/bugly/legu/CrashModule;->getInstance()Lcom/tencent/bugly/legu/CrashModule; [access_flags=public static] @ 0x20a2c,False,False
197,Lcom/tencent/bugly/legu/b;->a(Lcom/tencent/bugly/legu/a;)V [access_flags=public static] @ 0x21358,False,False
198,Lcom/tencent/bugly/legu/b;->a(Landroid/content/Context; Ljava/lang/String; Z Lcom/tencent/bugly/legu/BuglyStrategy;)V [access_flags=public static synchronized] @ 0x20e20,False,False
199,Lcom/tencent/bugly/legu/Bugly;->isDev()Z [access_flags=public static] @ 0x2033c,False,False
200,Lcom/tencent/bugly/legu/proguard/w;->b(Ljava/lang/Throwable;)Z [access_flags=public static] @ 0x3fc60,False,False
201,Ljava/lang/Boolean;->booleanValue()Z,True,False
202,Ljava/lang/Boolean;->parseBoolean(Ljava/lang/String;)Z,True,False
203,Ljava/lang/String;->replace(Ljava/lang/CharSequence; Ljava/lang/CharSequence;)Ljava/lang/String;,True,False
204,Lcom/tencent/bugly/legu/BuglyStrategy$a;-><init>()V [access_flags=public constructor] @ 0x2038c,False,False
205,Lcom/tencent/bugly/legu/BuglyStrategy$a;->onCrashHandleStart(I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Ljava/util/Map; [access_flags=public synchronized] @ 0x203a4,False,False
206,Lcom/tencent/bugly/legu/BuglyStrategy$a;->onCrashHandleStart2GetExtraDatas(I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)[B [access_flags=public synchronized] @ 0x203bc,False,False
207,Lcom/tencent/bugly/legu/BuglyStrategy;-><init>()V [access_flags=public constructor] @ 0x203d4,False,False
208,Lcom/tencent/bugly/legu/BuglyStrategy;->getAppChannel()Ljava/lang/String; [access_flags=public synchronized] @ 0x20410,False,False
209,Lcom/tencent/bugly/legu/BuglyStrategy;->getAppPackageName()Ljava/lang/String; [access_flags=public synchronized] @ 0x2045c,False,False
210,Lcom/tencent/bugly/legu/BuglyStrategy;->getAppVersion()Ljava/lang/String; [access_flags=public synchronized] @ 0x204d4,False,False
211,Lcom/tencent/bugly/legu/BuglyStrategy;->getLibBuglySOFilePath()Ljava/lang/String; [access_flags=public synchronized] @ 0x20578,False,False
212,Lcom/tencent/bugly/legu/BuglyStrategy;->getCrashHandleCallback()Lcom/tencent/bugly/legu/BuglyStrategy$a; [access_flags=public synchronized] @ 0x20520,False,False
213,Lcom/tencent/bugly/legu/BuglyStrategy;->getAppReportDelay()J [access_flags=public synchronized] @ 0x204a8,False,False
214,Lcom/tencent/bugly/legu/BuglyStrategy;->isEnableNativeCrashMonitor()Z [access_flags=public synchronized] @ 0x20628,False,False
215,Lcom/tencent/bugly/legu/BuglyStrategy;->isEnableANRCrashMonitor()Z [access_flags=public synchronized] @ 0x205fc,False,False
